UserID,SessionID,Timestamp,EventType,ProductID,Amount,Outcome,product_name,product_price,price_behavioral
1,1,2024-07-07 18:00:26.959902,page_view,,,Not_Purchased,Cotton T-Shirt,733,1502.0
1,1,2024-03-05 22:01:00.072000,page_view,,,Not_Purchased,Power Bank,1080,2392.0
1,1,2024-03-23 22:08:10.568453,product_view,prod_8199,,Not_Purchased,Digital Alarm Clock,2905,6109.0
1,1,2024-03-12 00:32:05.495638,add_to_cart,prod_4112,,Not_Purchased,Digital Alarm Clock,2020,4131.0
1,1,2024-02-25 22:43:01.318876,add_to_cart,prod_3354,,Not_Purchased,Yoga Mat,1690,3251.0
1,1,2024-01-01 23:09:51.956825,page_view,,,Not_Purchased,Yoga Mat,662,1421.0
1,1,2024-02-01 05:13:26.944169,add_to_cart,prod_4965,,Not_Purchased,Laptop Backpack,1476,2860.0
1,1,2024-02-14 15:41:53.071258,login,,,Not_Purchased,Travel Bag,4127,9871.0
1,1,2024-05-20 23:13:38.011189,click,,,Not_Purchased,Fitness Band,5903,14543.0
1,2,2024-06-27 16:17:34.523695,page_view,,,Not_Purchased,USB Cable,509,959.0
1,2,2024-03-31 07:56:23.690975,logout,,,Not_Purchased,Smart Watch,11379,26078.0
1,2,2024-05-16 22:00:13.041682,click,,,Not_Purchased,Phone Case,610,1238.0
1,2,2024-04-20 05:07:46.892185,product_view,prod_2683,,Not_Purchased,Gaming Mouse,2061,4262.0
1,2,2024-01-30 21:47:38.829172,page_view,,,Not_Purchased,LED Table Lamp,924,2241.0
1,2,2024-03-06 23:01:09.517819,page_view,,,Not_Purchased,Fitness Band,4408,6925.0
1,3,2024-03-15 05:22:41.094810,purchase,prod_5244,72.91361870063564,purchase,Office Chair,4550,7221.0
1,3,2024-01-21 19:23:27.047146,login,,,Not_Purchased,USB Cable,540,821.0
1,3,2024-02-13 21:58:06.439701,click,,,Not_Purchased,Fitness Band,4369,10191.0
1,3,2024-05-29 13:33:10.268585,product_view,prod_9640,,Not_Purchased,Sunglasses,2719,6194.0
1,3,2024-02-02 22:42:42.062903,add_to_cart,prod_8364,,Not_Purchased,USB Cable,497,1178.0
1,3,2024-02-15 12:46:46.387330,add_to_cart,prod_9851,,Not_Purchased,Running Shoes,3922,9721.0
1,3,2024-01-19 15:04:33.065650,page_view,,,Not_Purchased,Phone Case,411,945.0
1,3,2024-03-08 20:19:33.022016,login,,,Not_Purchased,Office Chair,4553,8931.0
1,3,2024-07-17 03:46:13.897763,add_to_cart,prod_6426,,Not_Purchased,Sports Water Bottle,1164,2655.0
1,4,2024-06-10 00:08:42.715781,product_view,prod_5771,,Not_Purchased,Smart Watch,5557,8993.0
1,4,2024-04-26 13:36:29.713266,add_to_cart,prod_8066,,Not_Purchased,Wallet,620,1327.0
1,4,2024-02-17 14:08:04.328681,page_view,,,Not_Purchased,Laptop Backpack,3135,5152.0
1,4,2024-01-27 10:05:11.806262,login,,,Not_Purchased,Headphones,2530,6185.0
